LSR_GOODS_CD,LSR_GOODS_NM,CSTMR_INQRY_CTTPLC_DC
24464,[경기 파주] 헤이리 팝트릭아트 93뮤지엄,* 고객센터 : 1644-1346 (야놀자) * 상담시간 : 09:00 ~ 19:00 (연중무휴)
24477,[전북 무주] 무주투어패스,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
24478,[전북 장수] 장수투어패스,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
24555,[경기 포천] 산사원 : 전통주 갤러리,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
24560,[전북 임실] 임실투어패스,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
24609,[서울 홍대] 포트링 : 도자기만들기 체험,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
24640,[전북 전주] 한옥마을 왕발통 & 전동 바이크,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
24655,[충북 단양] 스카이 패러글라이딩,* 고객센터 : 1644-1346 (야놀자) * 상담시간 : 09:00 ~ 19:00 (연중무휴)
24659,[부산 김해]렛츠런파크 일루미아빛 테마파크,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
24661,[전북 임실] 임실치즈테마파크 치즈체험 + 임실투어패스,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
27361,[부산 기장] 딸기가 좋아 동부산점,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
27362,[경기 분당] 딸기가 좋아 분당점,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
27363,[경기 고양] 딸기가 좋아 삼송점,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
27364,딸기가 좋아 : 올림픽공원점,• 문의전화 : 1599-8370 (가자고 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
27365,[강원 원주] 딸기가 좋아 원주점,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
27366,[인천 부평] 딸기가 좋아 인천부평점,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
27367,[인천 서구] 딸기가 좋아 인천청라점,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
27368,[서울 왕십리] 딸기가 좋아 한양대점,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
27371,[대전 중구] 아쿠아리움 + 애니멀파크 패키지,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
27381,[대전 서구] 하이주 동물키즈카페,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
27382,[부산 해운대]하이주 실내동물원,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
27383,[경기 부천] 실내 동물원 하이주,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
27392,[전북 남원] 남원투어패스,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
27413,[부산 수영] 광안리 커플라운지 이색카페,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
27414,[경기 화성] 하늘땅랜드 체험농장,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
27483,[전북 장수] 장수투어패스 + 승마체험장,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
27494,[서울 중구]시티투어버스,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
27517,[경남 남해] 원예예술촌,* 고객센터 : 1644-1346 (야놀자) * 상담시간 : 09:00 ~ 19:00 (연중무휴)
27527,[강원 강릉] 심신프리카페,* 고객센터 : 1644-1346 (야놀자) * 상담시간 : 09:00 ~ 19:00 (연중무휴)
27557,[전북] 익산투어패스,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
27631,[전북 익산] 교도소세트장 체험 + 익산투어패스,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
27654,[전북 김제] 김제 투어패스,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
27788,[전북 순창] 순창투어패스,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
28022,[경남 진주] 진주랜드,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
28057,[전남 여수] 아쿠아플라넷 입장권,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
28064,[전남 여수] 여수 아쿠아플라넷 + 테디베어 패키지,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
28070,[전남 여수] 여수 아쿠아플라넷 + 레일바이크 패키지,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
28086,[전북 군산] 테디베어 박물관,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
28087,[전북 정읍] 정읍투어패스,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
28180,[서울 신도림] 코코몽 녹색놀이터,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
28198,[전북 정읍] 정읍투어패스+시암아트센터,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
28217,[충남 당진] 삽교호놀이동산 앵무새 체험관,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
28218,[충남 당진] 삽교호 짚트랙,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
28221,[충남 태안] 안면 카트체험장,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
28222,[충남 홍성] 조류탐사과학관 + 4D영상체험,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
28223,[충남 아산] 온양관광호텔 온천사우나 입장권,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
28225,[경기 안산] 뛰뛰빵빵 어드벤처 NC백화점,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
28226,[경기 광명] 코코몽어드벤처 대형 실내 놀이터,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
28228,[서울 김포] 코코몽 녹색놀이터 김포공항점,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
28229,[인천 계양] 코코몽어드벤처 대형 실내 놀이터,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
28477,[경기 양평] 들꽃수목원,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
28492,[충남 아산] 아산스파비스 종일권,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
28581,[서울 종로] 프리징아일랜드,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
28746,[대구 동구] 미니멀동물원 이시아점,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
29072,[전남 완도] 완도 청해포구 촬영장,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
29117,[경기 여주] 주주팜,* 고객센터 : 1644-1346 (야놀자) * 상담시간 : 09:00 ~ 19:00 (연중무휴)
29233,[강원 강릉] 경포 아쿠아리움,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
29268,[충남 태안] 태안투어패스 (구매 다음 날 이용 가능),• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
29290,[경기 일산] 실내동물원 와우쥬,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
29293,[제주 제주시] 바이크트립 자전거 렌탈패키지,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
29294,[강원 속초] 얼라이브하트 + 다이나믹 메이즈 에피소드2,* 고객센터 : 1644-1346 (야놀자) * 상담시간 : 09:00 ~ 19:00 (연중무휴)
29381,[경기 성남] 몬스터타운,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
29386,[충북 충주] 수안 보온천랜드 입장권,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
29397,[경기 양주] 양주 애니멀카페 실내동물원,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
29409,[서울 강동]더쥬 실내동물원,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
29423,[충북] 힐링투어패스,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
29546,[강원 정선] 삼탄아트마인,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
29591,[전북 군산] 선유스카이 선라인,• 문의전화 : 1644-1346 (레저큐 고객센터) • 상담시간 : 09:00~19:00 (연중무휴)
