LSR_GOODS_CD,LSR_GOODS_NM,GOODS_GUID_CN
18909,[서울 강남] 피규어뮤지엄 W,"1천여 점 피규어 전시관 피규어 뮤지엄w 나만의 원목 액션 피규어 만들어 체험하기 각종 다양한 크기와 종류의 피규어들과 함께 사진도 찍고 관람할 수 있습니다. 또한 취향저격 피규어를 구매할 수있는 피규어 샵도 있습니다. 그이외에 체험, 놀이, 포토존등의 시설을 이용 할 수도 있습니다."
19407,[경기 양평] 추억의 청춘뮤지엄,
19541,[경북 경산] 경산 스파월드 : 사우나 & 찜질방,"2014년 경산시 우수 목욕업소 선정 사우나 & 찜질방 경산 스파월드  경산 스파월드는 경산 온천지역 맥반석 지대의 중심에 위치하고 있어 최상의 수질을 자랑하고 있습니다 대형 온천급 사우나, 고품격의 테마 찜질방, 수영장, 썰매장, 펜션등 다양한 부대시설을 겸비하고 있습니다  일상의 탈출과 더불어 가족 모두가 만족하는 즐거운 휴식 공간으로 충분할 것입니다  입장부터 편안하게 하실 수 있도록 대형 주차장, 다양한 부대시설 등 쾌적한 환경을 조성하였습니다  정말 '물' 좋은 경산 스파월드로 일상에 지친 피로 풀고 가세요~"
19589,[서울 목동] 목동 종합사격장,"다른 체험장에서 보기 힘든 공기총 사격도 가능! 취향저격 이색체험 목동 종합사격장  도심 속에서 스릴을 느끼고 싶다면 일상에 지친 그대를 위해 취향저격 이색체험  목동 종합사격장은 도심의 실내 사격장으로  실탄 사격과 공기총 사격시설을 모두 갖추었습니다 사격을 친근하게 느낄 수 있도록 가족 단위의 방문객에게  사격체험의 기회를 제공하며 선수 발굴 및 육성에도 힘을 기울이고 있습니다 또한, 실탄 권총사격 위주인 대부분의 시설과 달리 국제규격의 공기총사대 25개와  다수의 공기권총, 공기소총을 보유하고 있습니다"
19595,[서울 송파] 송파 사격장,"스트레스 날려버려 빵야- 빵야- 올림픽 영웅 진종오선수도 다녀간 사격체험장 올림픽 규격 사격장 송파 사격장  실제 올림픽 국제 규격 10M 사선, 21개 사대로 이루어진 공간에서 즐기는 이색 체험 공간, 송파사격장!  사격에 방해되는 물건은 모두 락커룸에 보관하고 표적에만 집중하실 수 있어요  전문가도 OK! 초보자도 OK! 안전 교육은 물론 1:1 맞춤 코칭까지 해드려요  사격장이 보이는 통유리 대기실이 마련되어 있어 커플뿐만 아니라 직장 동료 모임에도 제격이랍니다"
19598,[대전 동구] 그레이트피그미풀 : 대전복합터미널점,"이 정도는 돼야 키즈카페지 엄마들이 대전 그레이트피그미풀을 찾는 이유!  대전 그레이트 피그미풀은 이번 신규 오픈으로 깔끔한 공간이 돋보이는 곳입니다 일반 키즈카페와는 확실히 차이가 있습니다 -처음 보는 신개념 놀이공간은 물론, 같은 놀이도 새롭게 재해석하여 아이들 두뇌발달에 도움을 주도록 구성 -원하는 만큼, 마음껏 놀아도 초과금액 없이 모든 놀이 공간을 이용 가능 -복합놀이 공간에는 아이들의 놀이 공간과 더불어 함께 오신 부모님도 편안히 쉴 수 있는 안마의자 준비   벽뿐만 아니라 바닥에도 설치가 되어있는 스크린 플레이존은 센서가 있어서 아이들이 직접 손으로 조작이 가능하답니다. 아토피나 알러지가 있는 아이들의 건강한 놀이문화를 위해 편백나무 놀이터도 마련되어 있습니다.  그밖에도 어드벤처, 점핑플레이, 기차놀이, 플레이존, 키즈시네마, 쿠킹클래스 등의 다양한 프로그램이 마련되어 있습니다. 기타 부대시설로는 카페, 수유실, 물품보관함, 매점 등이 있으며 주변에 아이들이 체험하기 좋은 몇몇 관광지들이 가까운 곳에 마련되어 있으니 주변 관광지도 함께 체험해보시고 즐거운 시간이 되시길 바랍니다."
19722,[전북] 전북투어패스,"티켓 하나로 관광지 60여 곳 무료입장, 약 1000여 개  맛집, 체험, 숙박할인까지 가능한 만능패스권. 여행시간을 좀더 넉넉하고 여행비용은 절약하게 되는  전북 어디든 한방에 OK 전북에서 너무나도 편리하고  실용성 있는 전북투어패스권 놓치지 마세요."
19733,[서울 마포] 팝아트 : 초상화체험 풍뎅이의숲,"셀카 사진만 있으면 예술작품으로 재탄생하는 팝아트 초상화는 어떤가요? 사진을 기본으로 강렬하거나 수줍은 듯한 팝아트를 연출하실 수 있고 붓질이 어색해도 미술에 소질이 없어도  나만의 개성있는 작품을 담으면 됩니다. 그림도 그리고, 디저트도 먹고 티켓을  이용한 고객님께는 아메리카노를 무료로 제공 합니다."
19767,[제주 제주시] RPB 패러글라이딩,"제주 RPB 패러글라이딩 파헤치기!  제주까지 왔는데 예고 없이 기상이 악화된다면 많이 억울하겠죠? RPB 탠덤 비행은 날씨 때문에 못 타는 일이 없답니다 활공장을 무려 4개나 보유하고 있기 때문이죠 그날의 기상에 따라 비행하기 적절한 곳을 선택하여 체험시켜주는 RPB 탠덤 비행으로 마음껏 제주 하늘을 만나보세요~~  전문 강사님께 간단한 안전교육과 함께, 꼼꼼히 안전 장비를 착용한 다음, 이륙 준비! 발이 붕 떠오르는 순간 보이는 제주의 오름 제주의 하늘을 만끽하세요 활공하는 모습을 사진으로 남길 수 있으니 포즈 미리 준비하시면 좋겠죠?  그럼 즐거운 비행 되세요~"
19912,[강원 인제] 엑스게임 리조트 번지점프 이용권,63m 국내 최고의 높이  하늘이라고 다같은 하늘이 아닙니다. 강원도 인제의 푸른 하늘을 만나보세요. 국내 최대급 높이 스릴  최고 하늘로 튀어 올라가는 슬링샷도 즐길 수 있어요. 하늘을 나는 기분 이제 도전해 봅시다.
19952,[전북 전주] 전주 한옥마을패스권,전주 한옥마을 인기 관광지 자유입장권! <전북투어패스 한옥마을권>  모바일 티켓 1장으로 전주 한옥마을 주요 유료 관광지 자유 입장이 가능한 패스권입니다.  • 패스권으로 입장 가능한 관광지 1. 경기전 2. 전라북도 관광기념품 100선 판매관 3. 루이엘모자박물관/ 추억박물관 4. 전주자연 생태관
20057,[전북 전주] 한옥마을패스권 + 상의원 고급한복대여 3시간 이용권,"한옥마을 완전정복! 한옥마을 패스권 포함! 상의원 한복대여  한옥마을에 가면~ 한복도 입고~ 한옥마을 필수코스 한복체험! 전주 상의원  다양한 색상과 디자인을 갖춘 한복이 수십 벌이에요 서로에게 어울리는 한복을 정성스레 골라주는 재미를 느껴보세요  분위기도 애정도 상승되는 느낌~ 옛 정취를 가득 품은 경기전을 한복을 차려입고 사랑하는 사람과 거닐어 보세요  아름다운 한옥마을을 배경으로 인생샷도 남겨보세요~  도란도란 걷기 좋은 서학동과 남부시장, 세계적으로 조화로운 비빔밥까지 한복을 입고 걷고, 춤추고, 노래하는 슬로시티 전주한옥마을에서 행복한 추억 만드세요"
20066,[강원 인제] 인제 ATV,"스피드 UP! 스트레스 DOWN! 거친 길을 거침없이 인제 ATV  질주본능. 오프로드의 짜릿함  신이 내린 자연경관, 내린천을 품은 라이딩 콭스 쉬운 조작으로 남녀노소 누구나 배우고 즐길 수 있는 레포츠 ATV 전문 강사진의 친절한 이론+안전 교육  아쿠아 슈즈까지 무료로 대여 가능!  어떤 길이라도 상관없다! 오프로드의 거친 매력~  울창한 숲 속과 내린천의 수려한 절경을 감상하며 즐기는 라이딩 무더위에 맞서는 좋은 예. 인제 ATV  남녀노소 다 함께 즐기는 국민 레포츠 ATV 즐기러 지금 인제로 출발하세요~"
20143,[서울 홍대] 트릭아이 뮤지엄 패키지,"< 홍대 트릭아이 뮤지엄 >은 벽이나, 바닥, 천장 위의 전시작품 속으로 관람객이 직접 들어가 익살스러운 사진을 남길 수 있는 개성만점 아트 전시회입니다. 깜박 속을수록 더 즐거운 트릭아이를 4가지 테마로 만나보세요.  테마1. 그림이 살아 움직이는 <3D 착시 미술관> 영상과 조형 작품을 통해 실감나는 착시의 세계로 빠져들게 됩니다.  테마2. 세계최초 증강현실 착시체험 <AR 뮤지엄> 트릭아이 어플을 다운로드 받고, 지정된 위치에서 사진과 영상을 찍으면 증강현실 트릭아이 체험을 할 수 있습니다.   테마3. 365일 겨울왕국 <아이스 뮤지엄> 길이 10m 아이스 미끄럼틀, 얼음 호텔 등 무더위에도 꽁꽁 녹지 않는 시원한 겨울왕국 체험 공간입니다.  테마4.  성(?) 스러운 데이트명소 <러브 뮤지엄> 아찔한 상상력이 절로 발휘되는 에로티시즘 아트 전시회입니다."
