LSR_GOODS_CD,LSR_GOODS_NM,FCLTY_ROAD_NM_ADDR
143,더마파크 장거리 체험 승마,제주 제주시 한림읍 월림7길 155 더마파크
144,메이즈랜드,제주 제주시 구좌읍 비자림로 2134-47 메이즈랜드
145,카멜리아힐,제주특별자치도 서귀포시 안덕면 상창리 271
155,[서울 신도림] 뛰뛰빵빵 점핑랜드,서울시 구로구 구로동 3-25 신도림테크노마트 5층 뛰뛰빵빵 신도림점
197,[서울 강남] 클라임이모션,서울 강남구 논현로76길 27
268,[충남 당진] 삽교호 카트월드 이용권,충남 당진시 신평면 삽교천길 71
744,"[충북 단양] 천동동굴 : 석회동굴, 단양명소",충북 단양군 단양읍 천동리 산 17-1
773,[전북 전주] 상의원 : 한옥마을 한복대여,전북 전주시 완산구 전주천동로 82
796,[서울 강남] 크리센트 : 향수  만들기 원데이 클래스,서울 강남구 논현로75길 15
853,[서울 중구] 남대문 실탄사격장,서울 중구 남대문시장길 25-8
897,베니스랜드 테마파크,제주 서귀포시 성산읍 난산리 2575
898,산방산 탄산온천,제주 서귀포시 안덕면 사계북로41번길 192
899,서커스월드 입장권,제주 서귀포시 안덕면 동광로 214
972,[강원 강릉] 아라나비토종 짚라인 왕복권,강원 강릉시 남항진동 1-4
1021,[전북 전주] 한복길 한복대여,전북 전주시 완산구 어진길 58
1036,[서울 노원] 이창현 노원클라이밍센터,서울 노원구 상계로 98
1090,[서울 상암] 코알라 클라이밍,서울 마포구 월드컵북로 396
1091,[서울 종로] 경복궁 한복대여 한복남,서울 종로구 사직로 133-5
1116,[경기 일산] 원마운트 아이봇,경기 고양시 일산서구 한류월드로 300
1117,"[서울 여의도] 여의나루 아이봇, 전동킥보드",서울 영등포구 여의나루로 117
6669,[전남 여수] 카트 체험장,전남 여수시 돌산읍 평사리 1248
11096,[서울 홍대] 반지카페 : 반지만들기 체험,서울 마포구 서교동 366-13
11439,[전남 여수] 국가대표 패러글라이딩,전남 여수시 만흥동 95-1
11455,[서울 종로] MES 방탈출카페,서울 종로구 성균관로 12
11493,[서울 관악] 우쿨렐레 원데이 클래스,서울 관악구 남부순환로266길
11516,[충북 단양]패러마을 패러글라이딩,충북 단양군 가곡면 두산길 196-52
11528,[서울 동대문] 한복 웨딩카페,서울 중구 을지로6가 18-66
11542,[강원 강릉] 환희 컵 : 이색박물관,강원 강릉시 한밭골길 76-29
11651,[강원 평창] 조나단 패러글라이딩,강원도 평창군 평창읍 노람들길 209-3
11837,[경기 용인] 스카이패러글라이딩,경기 용인시 처인구 모현면 초부리 211-6
11845,마린파크 돌핀 스위밍,제주특별자치도 서귀포시 안덕면 화순중앙로 132
11846,마린파크 조련사 체험,제주특별자치도 서귀포시 안덕면 화순중앙로 132
11867,점보빌리지 코끼리 트래킹 체험,제주특별자치도 서귀포시 안덕면 서광리 2351
12700,[서울 상왕십리] 그 아저씨 도예공방 : 핸드페인팅 & 핸드빌딩,서울 성동구 무학봉15길 27
12834,[강촌/가평] 레저클럽 ATV/카트/스쿠터/수상레저 패키지,강원 춘천시 남산면 강촌로 149
12909,[서울 종로] 한복남 셀프스튜디오,서울 종로구 북촌로5가길 13
12936,부산대학교 전동휠 대여,부산 금정구 중앙대로 1617-12
12962,[서울 여의도] 한강 전동 퀵보드/다타코리아 대여,서울 영등포구 여의나루로 117
12975,[전북 부안] 원숭이학교 & 자연사박물관,전북 부안군 상서면 감교리 505
13003,[전북 전주] 프리미엄 동물카페 우쮸쮸,전북 전주시 완산구 효자동3가 1698-9
13009,[제주 중문] 다이나믹 메이즈 EP3 입장권,제주특별자치도 서귀포시 표선면 성읍리 2381
13395,[서울 홍대] 심신프리카페 : 마사지,서울 마포구 어울마당로 100-6
13400,[경기 화성] 애니랜드 : 조류 & 체험동물원,경기 화성시 송산면 지화리 산 69-2
13497,[평창] 용평리조트 스키패스 시즌권,강원 평창군 대관령면 올림픽로 715
13507,[경기 김포] 김포 곤충농장,경기 김포시 고촌읍 태리 950
13936,[충남 대천] 짚트랙,충남 보령시 신흑동 2210-1
13940,[충남 공주] 이안 숲속 사계절 레일썰매,충남 공주시 반포면 수목원길 25
13957,[인천 남동] 그레이트피그미풀 키즈파크,인천 남동구 앵고개로 928
15027,[경북 경주] 한복대여 입고놀자,경북 경주시 포석로1092번길 70
18851,스카이 패러글라이딩,충북 단양군 가곡면 사평리 218-5
18909,[서울 강남] 피규어뮤지엄 W,서울 강남구 청담동 84-9
19407,[경기 양평] 추억의 청춘뮤지엄,경기 양평군 용문면 용문산로 620
19541,[경북 경산] 경산 스파월드 : 사우나 & 찜질방,경북 경산시 남천면 남천로 305-61
19589,[서울 목동] 목동 종합사격장,서울 양천구 안양천로 939
19595,[서울 송파] 송파 사격장,서울 송파구 가락로 278
19598,[대전 동구] 그레이트피그미풀 : 대전복합터미널점,대전 동구 용전동 63-3
19722,[전북] 전북투어패스,전라북도 전주시 완산구 효자로 225
19733,[서울 마포] 팝아트 : 초상화체험 풍뎅이의숲,서울 마포구 성미산로10길 6
19760,숯불애 짜투리고기 식사권,제주특별자치도 제주시 한경면 녹차분재로 504
19761,[제주 애월] 파파월드,제주특별자치도 제주시 애월읍 평화로 2157
19762,허브동산 야간권,제주특별자치도 서귀포시 표선면 표선리 2608
19767,[제주 제주시] RPB 패러글라이딩,제주특별자치도 제주시 동문로20길 11
19912,[강원 인제] 엑스게임 리조트 번지점프 이용권,강원 인제군 인제읍 설악로 2254
19916,돌핀비바제트,제주특별자치도 서귀포시 색달동 2950-4
19918,송악산 전기자전거 & 왕발통,제주특별자치도 서귀포시 대정읍 형제해안로 256-6
19920,쇠소깍 제트보트,제주특별자치도 서귀포시 하효동 999-3
19924,제주바다체험장,제주특별자치도 제주시 구좌읍 동복리 608-3
19936,멍에승마장 & ATV,제주특별자치도 서귀포시 성산읍 서성일로 397
19937,서광승마장,제주특별자치도 서귀포시 안덕면 서광리 산 51
19938,제주제트 올레크루즈,제주특별자치도 서귀포시 안덕면 화순해안로106번길 16
19939,조랑말타운,제주특별자치도 서귀포시 표선면 성읍리 2867
19952,[전북 전주] 전주 한옥마을패스권,전북 전주시 완산구 태조로 44
20057,[전북 전주] 한옥마을패스권 + 상의원 고급한복대여 3시간 이용권,전북 전주시 완산구 태조로
20066,[강원 인제] 인제 ATV,강원 인제군 인제읍 합강리 221-12
20077,건강과성박물관,제주특별자치도 서귀포시 안덕면 감산리 1736
20078,공룡휴게소박물관,제주특별자치도 서귀포시 성산읍 난산로 293
20079,국궁 활쏘기체험,제주특별자치도 제주시 애월읍 어음리 49
20080,김녕미로공원,제주특별자치도 제주시 구좌읍 김녕리 산 16
20081,돌문화공원,제주특별자치도 제주시 조천읍 남조로 2023
20082,레포츠랜드,제주특별자치도 제주시 조천읍 와흘상서2길 47
20083,마라도가는 여객선 : 송악산항,제주특별자치도 서귀포시 대정읍 상모리 133-3
20084,별빛누리공원,제주특별자치도 제주시 선돌목동길 60
20086,일출랜드,제주특별자치도 서귀포시 성산읍 삼달리 1010
20087,[경기 안양] 러브낚시카페 안양점,경기 안양시 만안구 안양로 305
20094,넥슨컴퓨터박물관,제주특별자치도 제주시 노형동 86
20095,미니랜드,제주특별자치도 제주시 조천읍 교래리 산 56-4
20096,번개 과학 체험관,제주특별자치도 서귀포시 토평공단로 78-27
20097,본태박물관,제주특별자치도 서귀포시 안덕면 산록남로762번길 69
20098,[제주 서귀포] 상효원 : 제주 자생식물 테마 정원,제주특별자치도 서귀포시 산록남로 2847-37
20099,세계 조가비 박물관,제주특별자치도 서귀포시 서홍동 557-1
20100,아프리카 박물관,제주특별자치도 서귀포시 대포동 1833
20101,유리의 성 마법의 숲,제주특별자치도 제주시 한경면 저지리 3135-1
20102,제주불빛축제,제주특별자치도 제주시 애월읍 유수암리 1083
20103,제주실탄사격,제주특별자치도 서귀포시 소보리당로164번길 62
20119,한울랜드,제주특별자치도 제주시 구좌읍 덕천리 766
20120,허브동산 주간권,제주특별자치도 서귀포시 표선면 표선리 2608
20143,[서울 홍대] 트릭아이 뮤지엄 패키지,서울 마포구 홍익로3길 20
20172,OK승마장,제주특별자치도 서귀포시 표선면 번영로 2595
20174,노리매 테마공원,제주특별자치도 서귀포시 대정읍 구억리 654-1
20178,로봇스퀘어,제주특별자치도 제주시 구좌읍 한동리 1294
20179,마라도 정기여객선,제주특별자치도 서귀포시 대정읍 하모리 2132-1
20184,방림원,제주특별자치도 제주시 한경면 저지리 2120-91
20185,석부작박물관,제주특별자치도 서귀포시 호근동 569-2
20186,세계술박물관,제주특별자치도 서귀포시 표선면 한마음초등로 431
20191,워터월드 해수사우나,제주특별자치도 서귀포시 월드컵로 33
20193,이상한 나라의 앨리스 박물관,제주특별자치도 서귀포시 안덕면 서광리 773
20194,재밋섬,제주특별자치도 서귀포시 표선면 성읍리 2684
20195,전쟁역사평화박물관,제주특별자치도 제주시 한경면 청수리 1166
20197,제주이야기,제주특별자치도 제주시 구좌읍 행원로13길 66
20198,중문승마장,제주특별자치도 서귀포시 이어도로 244
20199,[제주 중문] 중문카트,제주특별자치도 서귀포시 상예동 1759-1
20200,짚라인 제주,제주특별자치도 제주시 조천읍 선흘리 600
20204,트로이테마농원 승마체험,제주특별자치도 서귀포시 안덕면 녹차분재로 56
