LSR_GOODS_CD,LSR_GOODS_NM
32824,[제주 성산] 제주랜드 : 승마&ATV
32828,[제주 안덕] 건강과 성 박물관
32831,[제주 제주시] 러브랜드
32835,[제주 서귀포] 서귀포 잠수함
32836,[제주 제주시] 엘리펀시아
32837,[제주 성산] 우도잠수함
32838,[제주 애월] 테디베어 사파리 테지움
32839,[제주 안덕] 카멜리아힐
32840,[제주 한림] 한림공원
32841,[제주 안덕] 올레크루즈 제트보트
32842,[제주 구좌] 제주바다체험장
32843,[제주 서귀포] 여미지 식물원
32846,[제주 조천] 에코랜드
32847,[제주 서귀포] 번개 과학 체험관
32849,[제주 성산] 베니스랜드 테마파크
32850,[제주 안덕] 헬로키티 아일랜드
32851,[제주 서귀포] 쇠소깍 제트보트
32852,[제주 성산] 공룡휴게소박물관
32864,[제주 서귀포] 중문랜드 실탄사격장
32878,[제주 표선] 세계술박물관 : 이색박물관
32887,[제주 조천] 돌문화공원
32901,[경기 수원] 실내동물원 쥬몽
32902,[강원 강릉] 알로하서프
32903,[경기 가평] 탑랜드수상레저
32911,[제주 제주시] 유리박물관 : 이색박물관
32913,[제주 안덕] 하늘여행 행글라이더
32914,[제주 서귀포] 쇠소깍배낚시
32915,[제주 한림] 오늘내일ATV
32922,[서울 잠실] 스크린사격장 타겟존
32926,[강원 양양] 서프오션스
32936,[대전 대덕] PSR 레이싱 : 대전점
32937,[충남 천안] PSR 레이싱 : 천안점
32938,[서울 영등포] PSR 레이싱 : 영등포점
32939,[충남 서산] PSR 레이싱 : 서산점
32940,[서울 강남] PSR 레이싱 : 대치점
32941,[제주 제주시] PSR 레이싱 : 제주점
32943,[경기 안산] PSR 레이싱 : 안산점
32944,[경기 화성] PSR 레이싱 : 화성점
32966,[강원 강릉] 신명서커스
32971,[경기 가평] 모험의시작 수상레저
32988,[경기 가평] 골든몽키 수상레저 인기 HOT
32991,[강원 양양] 핀스서프
32994,[강원 강릉] 애니멀스토리
32999,[경기 가평] 레저친구 수상레저
33017,[인천 중구] 쉬즈웰 도자기 공방
33018,[경북 영천] 홀스파크 : 말 체험 테마파크
33025,[강원 양양] 배럴서프스쿨
33057,"[경기 양평] 양평투어패스 : ★ 1000매 한정특가 9,900원"
33063,[서울 잠실] 롯데월드 아쿠아리움
33068,[강원 양양] 아이서프
33069,[강원 양양] 망고서프
33096,[경기 가평]리버랜드 번지점프
33111,[경기 용인] 캐리비안베이 미들/하이시즌 종일이용권+자켓패키지
33112,[서울 성수]  하이 아이스크림전
33123,[경기 가평] 원+원 수상레저
33124,[강원 양양] 솔게스트하우스 서핑 양양점
33125,[경기 고양] 일산 킨텍스 레이싱 키즈월드 룰루랄라 시즌3
33126,[경기 고양] 일산 킨텍스 상상체험 키즈월드 시즌7
33136,[경북 경주] 캘리포니아비치 + 경주월드 BIG5
33141,[강원 인제] 인제 명성래프팅 + 레저 패키지
33143,[서울 여의도] K-STAR VR 체험 이용권 : ★오픈특가
34362,[경북 경주] 캘리포니아비치 + 경주월드 빅5 세트권
34380,[경북 경주] 캘리포니아비치 + 경주월드 BIG5 패밀리권
34403,[경기 가평] 자라섬 수상레저
34409,[강원 동해] 솔게스트하우스 서핑 동해점
34415,[부산 수영] 솔게스트하우스 서핑 부산점
34447,[제주 서귀포] 금호리조트 제주아쿠아나 : ★핫딜특가
34483,[경기 가평] 코발트 수상레저
34495,[경남 밀양] 영남알프스 얼음골케이블카
34555,[강원 고성] 고고비치서프
34598,[부산 해운대] 벡스코 상상체험 키즈월드 시즌7
34602,[부산 해운대] 벡스코 레이싱 키즈월드 시즌3
34661,[강원 평창] 휘닉스평창 블루캐니언 종일권
34667,[강원 평창] 휘닉스평창 블루캐니언 세트권
