LSR_GOODS_CD,LSR_GOODS_NM,RFN_POLICY_DC
20057,[전북 전주] 한옥마을패스권 + 상의원 고급한복대여 3시간 이용권,"• 유효기간 이내 환불가능 • 유효기간 이후 미사용 티켓 환불 가능 • 사용개시 후 취소/환불/교환 불가 • 패키지 상품은 동일한 날짜에 이용 해야하며, 부분 취소 및 부분 환불이 불가합니다."
20066,[강원 인제] 인제 ATV,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가  [티켓 예약시] • 해당상품은 전화 예약시 티켓 사용처리됩니다. • 예약 후 취소를 원하시면 레저큐 고객센터 1644-1346으로 연락 바랍니다.    * 이용일 1일전까지 환불가능     * 이용일 당일 환불불가
20143,[서울 홍대] 트릭아이 뮤지엄 패키지,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가  • 이용과 동시에 티켓은 사용처리 됩니다.  • 패키지 상품은 미 이용시에도 부분 환불이 불가합니다.
20281,[경기 안산]별빛마을 빛축제 + 거울미로,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가 • 패키지 상품은 부분 취소 및 부분 환불이 불가합니다.
20374,[경북 경주]스쿠터 대여 스쿠터팡,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가  [티켓 예약시] • 해당상품은 전화 예약시 티켓 사용처리됩니다. • 예약 후 취소를 원하시면 레저큐 고객센터 1644-1346으로 연락 바랍니다.   * 이용일 1일전 까지 100% 환불 가능   * 이용일 당일 미사용시(No Show) 환불불가
20474,아쿠아플라넷 + 성산포유람선,• 유효기간 내 취소/환불 가능 • 사용한 티켓 환불 불가  • 유효기간 지난 후 환불 불가
20476,아쿠아플라넷 + 얼라이브카트,• 유효기간 내 취소/환불 가능 • 사용한 티켓 환불 불가  • 유효기간 지난 후 환불 불가
20538,[경북 경주] 한복대여 한복동이,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가 • 취소 요청 후 최대 7일 이내 취소 확정 여부를 확인 드립니다.
20553,[서울 종로] 창덕궁&창경궁 한복대여 한복남,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가
20575,아쿠아플라넷 + 허브동산 야간권,• 유효기간 내 취소/환불 가능 • 사용한 티켓 환불 불가  • 유효기간 지난 후 환불 불가
20576,아쿠아플라넷 + 러브랜드,• 유효기간 내 취소/환불 가능 • 사용한 티켓 환불 불가  • 유효기간 지난 후 환불 불가
20578,아쿠아플라넷 + 박물관은 살아있다,• 유효기간 내 취소/환불 가능 • 사용한 티켓 환불 불가  • 유효기간 지난 후 환불 불가
20586,[서울 잠실] 석촌호수 전동휠렌탈샵 제이휠,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가  [티켓 예약시] • 해당상품은 전화 예약시 티켓 사용처리됩니다. • 예약 후 취소를 원하시면 레저큐 고객센터 1644-1346으로 연락 바랍니다.    * 이용 3시간 전까지 환불이 가능합니다.
20596,[제주]아쿠아플라넷 + 레일바이크,• 유효기간 내 취소/환불 가능 • 사용한 티켓 환불 불가  • 유효기간 지난 후 환불 불가
20627,[전북 전주] 한옥마을패스권 + 말순이 한복대여,• 유효기간 이내 환불가능 • 유효기간 이후 미사용 티켓 환불 가능 • 사용개시 후 취소/환불/교환 불가 • 패키지 상품은 부분 취소 및 부분 환불이 불가합니다. • 양도 및 재판매가 불가합니다.
20628,[전북] 한옥마을패스권 + 한복길 한복대여,• 유효기간 이내 환불가능 • 유효기간 이후 미사용 티켓 환불 가능 • 사용개시 후 취소/환불/교환 불가 • 패키지 상품은 부분 취소 및 부분 환불이 불가합니다. • 양도 및 재판매가 불가합니다.
20697,[경기 가평] 인터렉티브 아트 뮤지엄,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가 • 해당 상품은 중복 할인 적용 불가합니다.
21018,[부산 남포] 심신프리 힐링카페,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가 • 해당 상품은 중복 할인 적용 불가합니다.
21019,[인천 중구] 영종도 레일바이크,"• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가  [티켓 예약시] • 해당상품은 홈페이지 예약시 티켓 사용 처리됩니다. • 예약 후 취소를 원하시면 레저큐 고객센터 1644-1346으로 연락 바랍니다.   * 탑승 3일전 전액환불   * 탑승 2일전 20%공제 후 환불   * 탑승 1일전 30%공제 후 환불   * 탑승 당일 출발시간 전 50%공제후 환불   * 탑승 당일 출발시간 후 환불불가 • 출발 당일 무단으로 불참 또는 탑승시간내 미도착 시 환불 불가 • 기상(눈,비 등등)으로 인한 취소시에도 위 환불 규정 적용 • 탑승일자 변경 시에도 취소와 동일하게 환불규정 적용"
21968,[전북 전주]한옥마을 한복대여 전주한복,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가 • 해당 상품은 중복 할인 적용 불가합니다.
22000,[부산 동구] BUTI 시티 투어 버스,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가
23035,[전북 군산] 패러글라이딩 스쿨,"• 미사용티켓 환불 가능  • 유효기간 이후 미사용티켓 환불 가능  • 사용한 티켓 환불 불가  • 해당 상품은 중복 할인 적용 불가합니다.    [티켓 예약시]  • 해당상품은 전화 예약시 티켓 사용처리됩니다.  • 예약 후 취소를 원하시면 야놀자 고객센터 1644-1346으로 연락 바랍니다.   * 사용한 티켓은 환불 불가   * 이용 당일취소 및 시간 내 출발지에 없을 경우(미방문/미참석시)에 환불 불가    * 단, 기상악화로 인한 비행 취소 시 당일 환불 가능   * 이용일 1일 전까지 사전 연락이 된 경우에만 체험 연기가 가능"
23038,[전북 전주] 전주한옥마을 한복대여 한복남,• 미사용티켓 환불 가능 • 유효기간 이후 미사용티켓 환불 가능 • 사용한 티켓 환불 불가
