LSR_GOODS_CD,LSR_GOODS_NM,SLE_STATE_DC
29668,[경북 울진] 덕구온천 스파월드 입장권,STOP
29719,[전북 전주]물고기마을,STOP
29773,[충남 당진] 삽교호 함상공원 패키지,STOP
29818,[경북 경주] 뽀로로 아쿠아빌리지 준성수기 시즌,STOP
29819,[강원 속초] 설악워터피아 로우시즌 종일권,STOP
29826,[경남 김해] 가야랜드 봄 체험 놀이터,STOP
29867,[대구] 무민 원화전,STOP
29868,[경기 용인] 캠스토리 봄 체험 놀이터,STOP
29870,[전남 화순] 금호리조트 아쿠아나 비수기,STOP
29872,[전북 전주] 한옥마을 나라한복 한복대여,STOP
29875,[충남 금산] 한방스파 테라피 이용권 &호텔 패키지,STOP
29895,[강원 영월] 동강시스타 힐링스파,STOP
29916,[전남 순천] 순천만국가정원 스카이큐브 탑승권,STOP
29917,[경기 과천] 서울랜드 After12 자유이용권,STOP
29919,[경기 과천] 서울랜드 BIG5+서울 동물원,STOP
29922,[경기 이천] 스파플러스,STOP
29923,[대구] 엘리바덴 신월성점,STOP
29928,[대구] 대구 온천 엘리바덴 : 상인점,STOP
29933,[이천/여주] 남한강 썬밸리호텔+별빛정원 우주,STOP
29941,[전북 전주] 전주 한옥마을 의식주 투어패스,STOP
29944,[충남 아산] 피나클랜드,STOP
29951,[전북]전북투어패스 1일권 + 군산 선유스카이 선라인 (짚라인),STOP
30002,[전북 고창] 석정휴스파,STOP
30005,[부산] 삼정 더 파크 : 도심 속 사파리,STOP
30006,[경북 청도] 용암온천 웰빙스파 이용권,STOP
30008,[경주] 스파럭스 : 럭셔리 스파&찜질,STOP
30044,[경기 양평] 오르다온 송백수목원,STOP
30045,[충남 당진] 월드아트서커스,STOP
30047,[경기 용인] 한국패러글라이딩 학교,STOP
30048,[서울/경기/부산/대전/강남] VR 존 5개지점 : 가로수길점/일산웨돔점/부산엘큐브광복점/대전점/강남점,STOP
30069,[태백] 365세이프 타운 자유이용권,STOP
30070,[강원 삼척] 강원종합박물관 입장권,STOP
30071,[경북 경주] 키덜트 뮤지엄,STOP
30072,[속초] 척산온천 휴양촌 이용권,STOP
30075,척산온천 휴양촌 이용권,STOP
30080,[경북 경주] 토이빌리지 테마파크,STOP
30091,[서울 동대문] 판타 키즈vr,STOP
30155,[강원 인제] 인제 짚트랙,STOP
30163,[충남 천안] 상록 리조트 놀이동산 주말이용권,STOP
30168,[충남 청양] 청양 고운식물원,STOP
30205,[강원 춘천] 춘천 물레길 카누 + 집라인,STOP
30207,[부산 해운대] 캐치웨이브,STOP
30262,[서울 용산] 곤충파충류 체험전,STOP
30290,[제주 중문] 그랑블루요트,STOP
30330,[서울 을지로] 그레뱅뮤지엄 입장권 패키지,STOP
30332,[경기 가평] 가평레져벨리카트장,STOP
30335,[한일고속 훼리] 완도→추자 승선권,STOP
30339,[여수/제주] 한일고속훼리 : 여수↔제주 승선권,STOP
30341,[경기 양평] 두메향기,STOP
30343,[한일고속 훼리] 완도↔제주 승선권,STOP
30344,[서울 동대문] 판타 VR 테마파크 + 풀잎채 무료이용권,STOP
30372,[서울 여의도] 다타텐트,STOP
30373,[전주] 한옥숙박 체험관,STOP
30374,[강원 정선] 하이원 리조트 관광 곤돌라 탑승권,STOP
30375,[경기 이천] 별빛정원 우주,STOP
30379,[전남 여수] 레일바이크,STOP
30380,[인천 송도] 도심형 테마파크 몬스터 VR,STOP
30382,[서울 왕십리] V-PLEX 통합패키지 4월,STOP
30384,[부산] 키자니아 어린이 체험테마파크,STOP
30385,[대전 중구] 대전 아쿠아리움 입장권,STOP
30386,[강원 홍천] 알파카월드,STOP
30388,[충북 충주] 한화리조트 수안보 온천 입장권,STOP
30389,[경기 안양] 엔젤하우스 : 베이비 카페 + 수영,STOP
30408,[여수] 디오션리조트 사우나,STOP
30412,[충남 천안] 쥬쥬피아,STOP
30416,[전남 여수] 엑스포 스카이플라이 왕복권,STOP
30418,[전남 여수] 엑스포 카트,STOP
30419,[전남 여수] 해상케이블카,STOP
30420,[서울 삼성] 코엑스 아쿠아리움 4월,STOP
30430,[충북 제천] 제천 짚트랙 + 산악체험,STOP
30432,[제주 조천] 에코랜드,STOP
30437,[전북 부안] 원숭이학교 + 부안투어패스,STOP
30447,[경북 청도] 청도프로방스 주간권 패키지,STOP
30448,[경북 청도] 프로방스 빛축제 짚라인패키지,STOP
30452,[전북 무주] 덕유산 관광곤돌라 왕복권 + 무주투어패스 패키지,STOP
30453,[과천] 서울대공원 리프트 + 서울동물원 + 과학관 입장권 패키지,STOP
30455,[경기 양평] 양떼목장,STOP
30457,[경주] 블루원 워터파크,STOP
30458,[경남 통영] 히어로스튜디오 통통 체험 테마파크,STOP
30460,[경북 경주] 프로방스빛축제,STOP
30463,[경북 경주] 힐링테마파크,STOP
30465,[경북 울진] 덕구온천 리조트 대온천장,STOP
30468,[서울 잠실] 롯데월드 자유이용권,STOP
30474,[서울 잠실] 롯데월드 패밀리 자유이용권,STOP
30475,[서울 잠실] 롯데월드 자유이용권 + TGIF 식사 패키지,STOP
30476,[서울 잠실] 롯데월드 자유이용권 + 햄버거,STOP
30477,[서울 잠실] 롯데월드 자유이용권 + VR 체험,STOP
30481,[잠실] 롯데월드 자유이용권+샤롯데 블라썸 패키지,STOP
30486,[부산 중구] 트릭아이 미술관 입장권,STOP
30487,[전북 전주] 한옥 레일바이크,STOP
30491,[전남 광양] 와인동굴,STOP
30510,코코몽 키즈랜드 강서점,STOP
30512,코코몽 키즈랜드 광주역점,STOP
